logP,BP,MW,1DmMW,1Dx,1Dy,1Dz,1Du,1Ds,L1D,1DRatio,Flow,GV1DT1,GV1DT2,GV1DT3,GV1DT4,GV1DT5,GV1DRT,dV1D2,dV1D3,dV1D4
"4,29",257,"200,36","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,68",284,"214,39","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,07",299,"228,414","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,16",151,"114,18","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,55",174,"128,21","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,94",195,"142,24","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,33",210,"156,26","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,72",231,"170,29","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,11",247,"184,32","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,5",263,"198,34","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,28",294,"226,4","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,67",318,"226,448","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"6,06",320,"254,4513","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,16","152,8","114,18","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,55",171,"128,212","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,94",195,"142,2386","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,33",207,"156,2","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,72",225,"170,29","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,11",257,"184,32","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,5",280,"198,34","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,89",302,"212,37","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,28",285,"226,4","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,67","297,5","240,42","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"8,1","321,3","268,5","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"1,74",145,"130,18","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,13",168,"144,21","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,52",188,"158,238","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,91",208,"172,26","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,3",227,"186,29","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,69",245,"200,32","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,08","258,4","214,34","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,47","189,5","228,37","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,86","121,7","242,4","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,25","294,7","256,42","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,64","391,15","270,5","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"6,03","192,2","284,27153","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"6,81","213,7","312,53","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"1,6","139,35","130,19","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,16","253,43","186,29","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,94","299,19","214,34","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,72","344,95","242,4","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,5","390,71","270,4507","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"1,74","137,425","130,18","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,13","173,575","144,214","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,52","209,5","158,24","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,91","162,925","172,27","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,3",224,"186,29","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,69",244,"200,32","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,47","265,2","228,37","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,25","368,77","256,42","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"6,03","414,53","284,5","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"1,79","238,7","164,2","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,57","303,93","192,25","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,35","349,69","220,31","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,13","395,45","248,36","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,55","276,81","200,32","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,33","322,57","242,4","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,11","368,33","256,42","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,89","414,09","284,5","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"6,1","280,5","242,4","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"7,2",315,"270,451","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"8,2",160,"298,5038","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,3","226,58","186,29","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"6,2","290,3","242,4","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"6,42","437,41","298,5","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,86","345,89","242,4","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"5,64","391,65","270,5","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,46","476,13","278,34","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,31","319,85","278,35","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
