t2D,logP,BP,MW,2DmMW,2Dx,2Dy,2Dz,2Du,2Ds,PM,L2D,Flow,GV2DT1,GV2DT2,GV2DT3,GV2DT4,GV2DT5,GV2DRT,A2D2,A2D3,A2D4
"1,84","2,91",208,"172,26",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,81","3,3",227,"186,29",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,82","3,69",245,"200,32",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,75","4,08","258,4","214,34",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,79","4,47","189,5","228,37",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,77","4,86","121,7","242,4",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,77","5,25","294,7","256,42",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,67","5,64","391,15","270,5",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,7","6,03","192,2","284,27153",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,74","6,81","213,7","312,53",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,8","1,6","139,35","130,19",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,75","3,16","253,43","186,29",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,76","3,94","299,19","214,34",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,8","4,72","344,95","242,4",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,74","5,5","390,71","270,4507",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,73","1,74","137,425","130,18",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,85","2,13","173,575","144,214",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,86","2,52","209,5","158,24",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,88","2,91","162,925","172,27",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,86","3,3",224,"186,29",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,83","3,69",244,"200,32",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,79","4,47","265,2","228,37",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,82","5,25","368,77","256,42",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,55","6,03","414,53","284,5",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"3,04","1,79","238,7","164,2",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,55","2,57","303,93","192,25",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,45","3,35","349,69","220,31",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,36","4,13","395,45","248,36",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,69","3,55","276,81","200,32",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,72","4,33","322,57","242,4",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,7","5,11","368,33","256,42",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,39","5,89","414,09","284,5",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,72","6,1","280,5","242,4",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,72","7,2",315,"270,451",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,5","8,2",160,"298,5038",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,74","3,3","226,58","186,29",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,73","6,2","290,3","242,4",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,53","6,42","437,41","298,5",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,74","4,86","345,89","242,4",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"1,73","5,64","391,65","270,5",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,91","3,46","476,13","278,34",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,59","3,31","319,85","278,35",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,16","3,6",340,"278,34",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,98","4,4","373,9","222,37",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"2,54","3,4","301,5","222,37",44,305,551,360,562,484,6,"1,5","1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807",3,40,0
"3,15","2,84","171,19","128,1705",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,01","1,4","339,44","152,047344",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,66","2,3","231,2","135,1863",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,21","2,26",437,"164,2",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,15","2,96","264,73","188,01",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,22","2,78","297,23","205,03",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"4,04","1,26",283,"194,184",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"4,07","3,32","280,2","154,21",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,67","1,6","258,3","240,22",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,96","2,94","279,2","154,2",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"4,43","0,96","359,2","119,12",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,36","2,67","342,65","214,64",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,29","3,74","345,76","206,32",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,03","4,3","265,2","220,35",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"4,6","2,72","365,28","171,217",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,75","2,79","347,51","223,053",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,47","4,95","277,2","250,3",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,23","3,16","353,79","220,31",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,52","2,2",327,"214,65",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,87","3,26","296,2","166,223",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,71","2,04",302,"222,24",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,28","4,11","175,2","206,32",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"4,19","3,02","302,5","181,001992",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,47","2,93","364,97","249,09",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
